fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220910 211555	-0.713469066835535	1842	278	10	5	20276000	89
20220910 211644	-0.733746164982999	1849	300	10	5	20112000	90
20220910 211728	-0.525674582355474	1879	279	9	5	20276000	91
20220910 211815	-0.552171620940795	1879	298	10	5	20112000	92
20220910 211859	-0.493240519174235	1894	297	9	5	20112000	93
20220910 211948	-0.516631471564165	1875	316	11	5	19840000	94
20220910 212030	-0.530198148631284	1845	255	8	5	20110000	95
20220910 212116	-0.530941730977087	1984	242	9	5	19888000	96
20220910 212201	-0.523229161178445	1661	361	9	5	20124000	97
20220910 212257	-0.705132345035313	1824	297	15	5	20112000	98
20220910 212358	-0.709740035696147	1858	316	20	5	19840000	99
20220910 212457	-0.788564410169947	1865	299	17	5	20112000	100
20220910 212550	-0.787016443955329	1870	314	13	5	19842000	101
20220910 212650	-0.703929660626811	1859	308	17	5	19842000	102
20220910 212751	-0.879562815112402	2174	305	20	5	19494000	103
20220910 212836	-0.579427447922096	1860	370	9	5	19688000	104
20220910 212926	-0.901028881952571	2330	1165	19	5	17656000	105
20220910 213018	-0.187113726733624	1729	310	12	5	19934000	106
20220910 213116	-0.79541469058113	1915	285	15	5	20112000	107
20220910 213208	-0.677745814573431	8000	2143	20	5	15648000	108
20220910 213301	-0.691063623453282	1840	289	9	5	20112000	109
20220910 213355	-0.788226925929415	1917	294	9	5	20112000	110
20220910 213508	-0.80993655251877	1830	294	19	5	20112000	111
20220910 213601	-0.813988426660723	1756	276	9	5	20276000	112
20220910 213715	-0.77457673870068	1855	296	20	5	20112000	113
20220910 213806	-0.51881316591378	1875	308	8	5	19928000	114
20220910 213901	-0.66709476958345	1744	291	10	5	20044000	115
20220910 213955	-0.46671353928716	1746	276	9	5	20276000	116
